method,episodes,radius,success_mean,success_std,collision_mean,collision_std,timeout_mean,timeout_std,avg_steps_mean,avg_steps_std,n
MAPPO,300,4.0,0.7066666666666667,0.16748687068499388,0.22777777777777777,0.09867017010797031,0.07222222222222223,0.07046582220314634,84.63222222222221,31.747495711482774,3
MAPPO,300,6.0,0.77,0.14455551285335438,0.21777777777777776,0.12968147111525719,0.016666666666666666,0.018856180831641266,70.08111111111111,29.73290200650443,3
MAPPO,300,8.0,0.8099999999999999,0.13632749240408257,0.17666666666666667,0.1261686114630676,0.016666666666666666,0.015153535218873174,62.14333333333334,25.15790546542791,3
MAPPO,300,10.0,0.8355555555555556,0.07670691375152539,0.15222222222222223,0.06745826327404685,0.014444444444444446,0.010999438818457406,58.812222222222225,16.6221227715385,3
GAT-MAPPO,300,4.0,0.8111111111111112,0.02615244954653294,0.13555555555555554,0.02042752923427804,0.06,0.04009248567259715,72.82222222222224,14.038667852105071,3
GAT-MAPPO,300,6.0,0.8377777777777777,0.051231741703993375,0.12555555555555556,0.034029761846919006,0.03888888888888889,0.02454524670486058,67.78444444444445,18.906006557457268,3
GAT-MAPPO,300,8.0,0.7844444444444445,0.053702426549309214,0.17888888888888888,0.042280661312089886,0.03777777777777778,0.041662962798339274,71.41777777777779,18.202303747833543,3
GAT-MAPPO,300,10.0,0.8022222222222223,0.036548631563107864,0.15555555555555556,0.02439388711122239,0.043333333333333335,0.033993463423951896,71.88555555555556,12.111476752890315,3
EA-RG-MAPPO-S,300,4.0,0.9255555555555556,0.004157397096415488,0.05444444444444444,0.006849348892187752,0.022222222222222223,0.004157397096415491,67.50999999999999,0.6307902157582168,3
EA-RG-MAPPO-S,300,6.0,0.918888888888889,0.012272623352430302,0.06444444444444444,0.0062853936105470905,0.017777777777777778,0.005665577237325317,64.28555555555556,1.6097718571582649,3
EA-RG-MAPPO-S,300,8.0,0.89,0.021256807188565565,0.08333333333333333,0.012472191289246471,0.02666666666666667,0.013608276348795436,66.79,4.713564350774148,3
EA-RG-MAPPO-S,300,10.0,0.8788888888888889,0.01749779527558181,0.08555555555555555,0.02042752923427804,0.03888888888888889,0.010999438818457406,69.14444444444445,1.739051110643987,3
